TradingVenueId,TradeDate,PostingEntryId,PostingEntryType,PostingEntryDatetime,AccountId,AccountHandle,ProductId,Product,CR,DR,ReferenceTransactionType,ReferenceTransactionId,SystemRecordReference,Hdr_ExchangeId,Hdr_ClientSequenceId,Hdr_ClientUserId,CounterpartyAccountId
96,2018-09-29 00:00:00.0000000,1207695,Other,2018-09-29 03:58:10.6085400,2276,\N,1,\N,0.00261700,0.00000000,Deposit,52,19755305,1,0,0,2
96,2018-09-29 00:00:00.0000000,1207696,Other,2018-09-29 03:58:10.6085400,2,\N,1,\N,0.00000000,0.00261700,Deposit,52,19755307,1,0,0,2276
96,2018-09-29 00:00:00.0000000,1207753,Trade,2018-09-29 11:15:40.5234406,4944,\N,2,\N,0.00000000,0.00008500,Trade,123006,19757636,1,0,0,2276
96,2018-09-29 00:00:00.0000000,1207754,Trade,2018-09-29 11:15:40.5234406,2276,\N,2,\N,0.00008500,0.00000000,Trade,123006,19757638,1,0,0,4944
96,2018-09-29 00:00:00.0000000,1207755,Trade,2018-09-29 11:15:40.5234406,2276,\N,1,\N,0.00000000,0.00170000,Trade,123006,19757644,1,0,0,4944
96,2018-09-29 00:00:00.0000000,1207756,Trade,2018-09-29 11:15:40.5234406,4944,\N,1,\N,0.00170000,0.00000000,Trade,123006,19757646,1,0,0,2276
96,2018-09-29 00:00:00.0000000,1207759,Trade,2018-09-29 11:15:40.5234406,55,\N,2,\N,0.00000000,0.00000092,Trade,123007,19757658,1,0,0,2276
96,2018-09-29 00:00:00.0000000,1207760,Trade,2018-09-29 11:15:40.5234406,2276,\N,2,\N,0.00000092,0.00000000,Trade,123007,19757660,1,0,0,55
96,2018-09-29 00:00:00.0000000,1207761,Trade,2018-09-29 11:15:40.5234406,2276,\N,1,\N,0.00000000,0.00091700,Trade,123007,19757666,1,0,0,55
96,2018-09-29 00:00:00.0000000,1207762,Trade,2018-09-29 11:15:40.5234406,55,\N,1,\N,0.00091700,0.00000000,Trade,123007,19757668,1,0,0,2276
96,2018-09-29 00:00:00.0000000,1207773,Other,2018-09-29 12:30:55.9787589,2276,\N,2,\N,0.09200000,0.00000000,Deposit,53,19758122,1,0,0,2
96,2018-09-29 00:00:00.0000000,1207774,Other,2018-09-29 12:30:55.9787589,2,\N,2,\N,0.00000000,0.09200000,Deposit,53,19758124,1,0,0,2276
